bucket,domain,url,tranco_rank,predicted_model,model_confidence,predicted_industry,predicted_revenue,revenue_confidence,is_real_business,model_ok,true_model,industry_ok,true_industry,true_revenue,notes
model:SaaS:high,booktimewithtony.com,https://booktimewithtony.com,\N,SaaS,0.7,,<$1M,0.54,n,,,,,,AI: vanity redirect to a personal Calendly booking page - not a business site
model:SaaS:high,yourgiftisasong.com,https://yourgiftisasong.com,\N,SaaS,0.7,,<$1M,0.61,,,,,,,OWNER SLICE: ambiguous - see label_v2_owner.html
model:SaaS:high,tahtoo.fi,https://tahtoo.fi,\N,SaaS,0.7,,$1M-$10M,0.91,,,,,,,OWNER SLICE: ambiguous - see label_v2_owner.html
model:SaaS:high,hotmeetup.org,https://hotmeetup.org,\N,SaaS,0.7,,<$1M,0.81,,,,,,,OWNER SLICE: ambiguous - see label_v2_owner.html
model:SaaS:high,scriptahealth.com,https://scriptahealth.com,\N,SaaS,0.7,Healthcare,<$1M,0.79,y,y,,y,,<$1M,AI: pharmacy-automation AI SaaS - SaaS@0.7 correct
model:SaaS:high,ultimatewellnessinc.com,https://ultimatewellnessinc.com,\N,SaaS,0.7,,$1M-$10M,0.86,n,,,,,,AI: SprySite website-builder default page
model:SaaS:low,tacl-group.com,https://tacl-group.com,\N,SaaS,0.56,,<$1M,0.7,y,n,Consulting,n,Finance,<$1M,AI: startup studio + investment + consulting mix; SaaS misfire on 'solutions SaaS' vocabulary
model:SaaS:low,sip.io,https://sip.io,2161887,SaaS,0.62,DevTools,$1M-$10M,0.69,y,y,,y,,,AI: programmable voice / cloud contact center platform
model:SaaS:low,inkubaturx.com,https://inkubaturx.com,\N,SaaS,0.56,,,\N,,,,,,,OWNER SLICE: ambiguous - see label_v2_owner.html
model:SaaS:low,qoqolo.com,https://qoqolo.com,204736,SaaS,0.6,Education,$1M-$10M,0.61,y,y,,y,,,AI: preschool management SaaS (SG)
model:SaaS:low,donsart.org,https://donsart.org,\N,SaaS,0.56,,<$1M,0.81,,,,,,,OWNER SLICE: ambiguous - see label_v2_owner.html
model:SaaS:low,two-shoes.org,https://two-shoes.org,\N,SaaS,0.59,,<$1M,0.84,n,,,,,,AI: 'Welcome to Cloudflare' registrar shell
model:Ecommerce:high,sheldongalleries.uk,https://sheldongalleries.uk,\N,Ecommerce,0.86,,<$1M,0.73,y,y,,n,Art & Framing,<$1M,AI: gallery + custom framing with online shop
model:Ecommerce:high,nooudutravel.com,https://nooudutravel.com,\N,Ecommerce,0.74,Travel,<$1M,0.77,n,,,,,,AI: 404 with empty body - dead
model:Ecommerce:high,invitzy.com,https://invitzy.com,\N,Ecommerce,0.86,,$1M-$10M,0.6,y,y,,n,Events,<$1M,"AI: digital wedding invitations, one-time purchase product; pred $1M-$10M one bracket high"
model:Ecommerce:high,rallyways.com,https://rallyways.com,\N,Ecommerce,0.74,Marketing,$1M-$10M,0.64,y,n,Agency,n,Marketing,<$1M,AI: web-design/SEO agency for the auto industry; Ecommerce misfire
model:Ecommerce:high,actnestor.com,https://actnestor.com,\N,Ecommerce,0.74,,,\N,n,,,,,,AI: page renders only 'Redirecting...' - broken shell
model:Ecommerce:high,yuenyuentoy.com,https://yuenyuentoy.com,\N,Ecommerce,0.74,,$1M-$10M,0.7,y,y,,n,Retail,<$1M,AI: HK anime-toy web store; pred $1M-$10M high for a fan shop
model:Ecommerce:low,timleeuw.nl,https://timleeuw.nl,\N,Ecommerce,0.61,,<$1M,0.76,n,,,,,,"AI: personal experiment site, self-described under construction"
model:Ecommerce:low,gteoc.com,https://gteoc.com,\N,Ecommerce,0.67,Real Estate,$1M-$10M,0.57,y,n,LocalBusiness,y,,<$1M,AI: office-condominium association - property org
model:Ecommerce:low,berkeleybridgeadvisors.com,https://berkeleybridgeadvisors.com,\N,Ecommerce,0.6,,$1M-$10M,0.4,y,n,Consulting,n,Government,<$1M,"AI: government-contract sales advisory, very thin site"
model:Ecommerce:low,exaloninstruments.com,https://exaloninstruments.com,\N,Ecommerce,0.64,,<$1M,0.68,n,,,,,,AI: redirects to exalondelft.nl/products which 404s - dead vanity
model:Ecommerce:low,waschaecht.ch,https://waschaecht.ch,\N,Ecommerce,0.62,,<$1M,0.62,,,,,,,OWNER SLICE: ambiguous - see label_v2_owner.html
model:Ecommerce:low,trybobsredmill.com,https://trybobsredmill.com,\N,Ecommerce,0.64,Food & Beverage,$1M-$10M,0.49,y,y,,y,,$100M-$1B,AI: vanity redirect to bobsredmill.com - CPG brand with online store; pred $1M-$10M far low; vanity-domain dedup needed
model:Agency:high,nkel.se,https://nkel.se,\N,Agency,1,Marketing,<$1M,0.63,y,y,,y,,,AI: Swedish ad agency since 1994 - Agency@1.0 right for once
model:Agency:high,sarthishop.com,https://sarthishop.com,\N,Agency,0.8,Ecommerce & Retail,<$1M,0.81,n,,,,,,AI: banner says 'demo store for testing purposes - no orders shall be fulfilled'; junk gate should learn demo-store banners
model:Agency:high,hytghana.com,https://hytghana.com,\N,Agency,0.72,HR & Recruiting,<$1M,0.66,y,y,,y,,,AI: redirects to hytng.com - Nigerian HR/recruitment firm (owner precedent: recruitment = Agency)
model:Agency:high,adtp.de,https://adtp.de,\N,Agency,0.72,Marketing,<$1M,0.74,y,y,,y,,<$1M,AI: German print/web design agency
model:Agency:high,sylenos.ch,https://sylenos.ch,\N,Agency,0.9,Productivity,<$1M,0.73,y,n,Consulting,n,Management Consulting,<$1M,AI: redirects to congruent GmbH - project-management consultancy
model:Agency:low,wohnmanier-raumkonzepte.de,https://wohnmanier-raumkonzepte.de,\N,Agency,0.62,,<$1M,0.71,y,n,LocalBusiness,n,Construction & Manufacturing,<$1M,AI: seamless-floor contractor (Schleswig-Holstein)
model:Agency:low,aztlansoftware.com,https://aztlansoftware.com,\N,Agency,0.5,DevTools,<$1M,0.85,y,y,,n,IT Services,<$1M,AI: Mexican gov-sector software dev shop
model:Agency:low,buildwithinforma.com,https://buildwithinforma.com,\N,Agency,0.58,DevTools,$10M-$100M,0.68,y,n,Media,n,Events,$1B+,AI: vanity redirect to informaconnect.com (Informa plc conference) - events giant behind a campaign domain
model:Agency:low,armandovirtuale.it,https://armandovirtuale.it,\N,Agency,0.56,Travel,,\N,y,y,,n,IT Services,<$1M,AI: freelance dev portfolio w/ services (v1 precedent: freelancer = real)
model:Agency:low,corekindred.com,https://corekindred.com,\N,Agency,0.56,Real Estate,$1M-$10M,0.52,y,n,LocalBusiness,y,,,AI: redirects to corepointre.com - real-estate brokerage
model:Agency:low,u-bdesign.com,https://u-bdesign.com,\N,Agency,0.64,DevTools,<$1M,0.65,y,y,,n,Design,<$1M,AI: JP freelance web-design studio
model:Consulting:high,hotornotchicken.com,https://hotornotchicken.com,\N,Consulting,0.82,Food & Beverage,<$1M,0.64,y,n,LocalBusiness,y,,<$1M,"AI: hot-chicken restaurant (Athens, GA)"
